whiteflies,n. minute insect that feeds on plant juices; related to scale insects,n. [昆] 粉虱
whitefly,n. minute insect that feeds on plant juices; related to scale insects,n. [昆]粉虱
whitefoot,, [人名] 怀特富特
whiteford,, [人名] [苏格兰人姓氏] 怀特福德住所名称，由White+Ford构成; [地名] [美国] 怀特福德
whitegate,, [地名] [爱尔兰、英国] 怀特盖特
whitegates,plural of whitegate,(whitegate 的复数)  [地名] [爱尔兰、英国] 怀特盖特
whiteglow,,"白炽, 白热, 白热温度"
whitehair,, [人名] [英格兰人姓氏] 怀特黑尔 Whittier的变体
Whitehall,n. a wide street in London stretching from Trafalgar Square to the Houses of Parliament; site of many government offices\nn. the British civil service,"n. 白厅, 英国政府"
whitehanded,,"a. 两手雪白的, 不从事劳动的, 清白的, 老实的"
Whitehaven,,怀特黑文
Whitehead,n. English philosopher and mathematician who collaborated with Bertrand Russell (1861-1947)\nn. a small whitish lump in the skin due to a clogged sebaceous gland,"怀特黑德(①姓氏 ②Alfred North, 1861-1947, 1924年移居美国的英国哲学家、数学家)"
Whitehead's operation,,"[医] 怀特赫德氏手术(痔切除术,舌切除术)"
Whitehead's varnish,,[医] 怀特赫德氏护漆(创口敷裹剂)
whiteheaded,,"a. 白发的, 淡黄色头发的"
Whiteheads,plural of Whitehead\nn. English philosopher and mathematician who collaborated with Bertrand Russell (1861-1947)\nn. a small whitish lump in the skin due to a clogged sebaceous gland,"(Whitehead 的复数) 怀特黑德(①姓氏 ②Alfred North, 1861-1947, 1924年移居美国的英国哲学家、数学家)"
whiteheart,,白色尖果樱桃
Whitehill,,n. (Whitehill)人名；(英)怀特希尔
whitehorn,," [人名] [苏格兰人姓氏] 怀特霍恩住所名称, 来源于古英语, 含义是“白+房屋”(white+house), 据说由白石教堂而得名"
Whitehorn's method,,[医] 怀特霍恩氏法(检血中氯化物)
Whitehorn's methods,,[医] 怀特霍恩氏法(检血中氯化物)
whitehorns,-s form of whitehorn,"(whitehorn 的第三人称 -s形式)  [人名] [苏格兰人姓氏] 怀特霍恩住所名称, 来源于古英语, 含义是“白+房屋”(white+house), 据说由白石教堂而得名"
whitehorse,n. the provincial capital of the Yukon Territory,n. 白马市；怀特霍斯（加拿大西北部城市名）
Whitehouse,,n. 怀特豪斯（人名）\n怀特豪斯（地名）
whitehurst,, [人名] 怀特赫斯特
whiteland,, [地名] [美国] 怀特兰
whitelash,,[网络] 白皮书
whitelaw,, [人名] [苏格兰人、北方英格兰人姓氏] 怀特洛住所名称，来源于古英语，含义是“白+山”(white+hill); [地名] [美国] 怀特洛
whiteleg,,[医] 股白肿
Whiteley,,怀特利（人名）
whitely,"a. Like, or coming near to, white.",adv. 产生白色地；发白光地
Whiteman,,n. (Whiteman)人名；(英)怀特曼
whiteman's foot,,[网络] 白人的脚
whitemore,, [人名] 怀特莫尔
whiten,v. turn white,"vt. 使白, 漂白\nvi. 变白"
whitened,v turn white\ns (of hair) having lost its color,v. （使某物）变白或更白( whiten的过去式和过去分词 )
whitener,n an agent that makes things white or colorless,n. 增白剂；漂白剂
whitener R,,[化] 增白剂R
whiteness,n. lightness or fairness of complexion,"n. 白, 苍白, 洁白\n[化] 白度"
whitening,n. changing to a lighter color,"n. 弄白, 变白, 白粉"
whitening filter,,[电] 白化滤波器
whitens,v turn white,v. （使某物）变白或更白( whiten的第三人称单数 )
whiteout,"n an arctic atmospheric condition with clouds over snow produce a uniform whiteness and objects are difficult to see; occurs when the light reflected off the snow equals the light coming through the clouds\nv cover up with a liquid correction fluid\nv lose daylight visibility in heavy fog, snow, or rain","n. [气]乳白天空(极地的一种大气光象),因暴露于恶劣环境而引起的临时性失明"
whiteouts,"n. an arctic atmospheric condition with clouds over snow produce a uniform whiteness and objects are difficult to see; occurs when the light reflected off the snow equals the light coming through the clouds\nv. cover up with a liquid correction fluid\nv. lose daylight visibility in heavy fog, snow, or rain",n. 临时性失明（因暴露于恶劣环境而引起的）；乳白天空（极地的一种大气光象）
whitepox,,"n. [医]轻型天花,乳白痘,类天花"
whiteprint,,"[摄]白背景图片, 白色图, 印正象"
whiter,a being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light\na of or belonging to a racial group having light skin coloration\ns free from moral blemish or impurity; unsullied\ns marked by the presence of snow\ns restricted to whites only\ns glowing white with heat\ns benevolent; without malicious intent\ns (of a surface) not written or printed on\ns (of coffee) having cream or milk added\ns (of hair) having lost its color\ns anemic looking from illness or emotion\ns of summer nights in northern latitudes where the sun barely sets,a. 白的；苍白的
whiteriver,, [地名] [美国] 怀特里弗
whiteroom,,极为清洁的房间(如手术室等)
whiteruss,,液体石蜡
whites,n a member of the Caucasoid race\nn the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)\nn United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)\nn Australian writer (1912-1990)\nn United States political journalist (1915-1986)\nn United States architect (1853-1906)\nn United States writer noted for his humorous essays (1899-1985)\nn United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918)\nn a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri\nn the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water\nn (board games) the lighter pieces\nn (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth\nv turn white,[医] 白带\n[经] 白糖
whitesands,, [地名] [南非共和国] 怀特桑兹
whitesboro,, [地名] [美国] 怀茨伯勒
whitesburg,, [地名] [美国] 怀茨堡
whitesell,, [人名] 怀特塞尔
whiteside,n. The golden-eye.," [人名] [英格兰人、苏格兰人姓氏] 怀特赛德可能是住所名称, 来源于古英语, 含义是“白+山坡”(white+slope of a hill)"
whitesides,, [人名] 怀特赛兹
whitesmith,"n. One who works in tinned or galvanized iron, or white\n   iron; a tinsmith.\nn. A worker in iron who finishes or polishes the work, in\n   distinction from one who forges it.","n. 白特工, 锡匠"
whitesmiths,"plural of whitesmith\nn. One who works in tinned or galvanized iron, or white\n   iron; a tinsmith.\nn. A worker in iron who finishes or polishes the work, in\n   distinction from one who forges it.","(whitesmith 的复数) n. 白特工, 锡匠"
whitespace,,空白
whitest,a being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light\na of or belonging to a racial group having light skin coloration\ns free from moral blemish or impurity; unsullied\ns marked by the presence of snow\ns restricted to whites only\ns glowing white with heat\ns benevolent; without malicious intent\ns (of a surface) not written or printed on\ns (of coffee) having cream or milk added\ns (of hair) having lost its color\ns anemic looking from illness or emotion\ns of summer nights in northern latitudes where the sun barely sets,a. 苍白的；白的（white的最高级）
whitester,n. A bleacher of linen; a whitener; a whitster.,a. white的变形
whitestone,, 玻璃假宝石
whitesville,, [地名] [美国] 怀茨维尔
whitetail,n common North American deer; tail has a white underside,n. 白尾鹿
whitetail antelope squirrel,,[网络] 白尾羚羊松鼠
whitetail deer,,[网络] 白尾鹿；白尾小鹿；猎白尾鹿
whitetail jackrabbit,,[网络] 白尾鹤
whitetail prairie dog,,[网络] 白尾草原狗
whitethorn,n. thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America,n. 英国山楂
whitethroat,n Old World warbler similar to the greater whitethroat but smaller\nn greyish-brown Old World warbler with a white throat and underparts\nn common North American finch with a white patch on the throat and black-and-white striped crown,"n. [鸟]黄莺科的小鸟, 麻雀的一种"
whitethroats,-s form of whitethroat\nn Old World warbler similar to the greater whitethroat but smaller\nn greyish-brown Old World warbler with a white throat and underparts\nn common North American finch with a white patch on the throat and black-and-white striped crown,"(whitethroat 的第三人称 -s形式) n.[鸟]黄莺科的小鸟, 麻雀的一种"
whitetip,, 白尾尖蜂鸟
whitetip shark,,[网络] 白鳍鲨；鲨鱼；沙鱼
whiteville,, [地名] [美国] 怀特维尔
whitewall,n. The spotted flycatcher; -- so called from the white\n   color of the under parts.,n. 白胎壁轮胎
whiteware,,"n. [总称]白色陶瓷(器),卫生陶瓷(器)(如抽水马桶、 餐具和绝缘陶瓷)"
whitewash,"n. a defeat in which the losing person or team fails to score\nn. wash consisting of lime and size in water; used for whitening walls and other surfaces\nn. a specious or deceptive clearing that attempts to gloss over failings and defects\nv. cover up a misdemeanor, fault, or error","n. 白色涂料, 粉饰, 得零分的惨败"
whitewashed,s. coated with whitewash,"v. 粉饰, 美化, 掩饰( whitewash的过去式和过去分词 )"
whitewasher,n. One who whitewashes.,n. 粉刷匠（whitewash名词形式）
whitewashes,"n a defeat in which the losing person or team fails to score\nn wash consisting of lime and size in water; used for whitening walls and other surfaces\nn a specious or deceptive clearing that attempts to gloss over failings and defects\nv cover up a misdemeanor, fault, or error\nv cover with whitewash\nv exonerate by means of a perfunctory investigation or through biased presentation of data","v. 粉饰, 美化, 掩饰( whitewash的第三人称单数 )"
whitewashing,"v cover up a misdemeanor, fault, or error\nv cover with whitewash\nv exonerate by means of a perfunctory investigation or through biased presentation of data","v. 粉饰, 美化, 掩饰( whitewash的现在分词 ); 喷浆"
whitewater,n. frothy water as in rapids or waterfalls,"n. <美>急流, 湍流"
whitewing,n. The chaffinch; -- so called from the white bands on the\n   wing.\nn. The velvet duck.,"n. 道路清洁工, 清道夫"
whitewood,n light easily worked wood of a tulip tree; used for furniture and veneer,"n. 白木树, 白色木"
whitework,,白砖体(古老高炉上的耐火砖砌体)
whitewright,, [人名] 怀特赖特
whitey,n. (slang) offensive names for a White man,n. 白人社会
whiteys,plural of whitey\nn. (slang) offensive names for a White man,(whitey 的复数) n. 白人社会
Whitfield,,惠特菲尔德（人名）
Whitfield's Ointment,,"[医] 怀特菲耳德氏软膏, 苯甲酸水杨酸软膏"
whitford,, [人名] [英格兰人姓氏] 惠特福德住所名称，来源于古英语，含义是“白+津渡”(white+ford); [地名] [英国] 惠特福德
whitgift,," [人名] [英格兰人姓氏] 惠特吉夫特住所名称，来源于古诺斯语别名Hvitt(White)+“天赋”(gift,dowry)"
whitham,, [人名] 惠瑟姆
whitharral,, [地名] [美国] 惠萨拉尔
whither,"adv. To what place; -- used interrogatively; as, whither\n   goest thou?\nadv. To what or which place; -- used relatively.\nadv. To what point, degree, end, conclusion, or design;\n   whereunto; whereto; -- used in a sense not physical.",adv. 到哪里
whithersoever,"adv. To whatever place; to what place soever;\n   wheresoever; as, I will go whithersoever you lead.","adv. 到任何地方, 无论何处"
whitherward,adv. In what direction; toward what or which place.,"[古、诗](=whitherwards)向何处, 在何方向"
whities,plural of whity,(whity 的复数) a. 发白的
whiting,n. flesh of a cod-like fish of the Atlantic waters of Europe\nn. flesh of any of a number of slender food fishes especially of Atlantic coasts of North America\nn. a small fish of the genus Sillago; excellent food fish,"n. 白粉, 白垩\n[医] 白粉, 精制碳酸钙"
whitings,plural of whiting\nn. flesh of a cod-like fish of the Atlantic waters of Europe\nn. flesh of any of a number of slender food fishes especially of Atlantic coasts of North America\nn. a small fish of the genus Sillago; excellent food fish,"(whiting 的复数) n. 白粉, 白垩\n[医] 白粉, 精制碳酸钙"
whitish,s. of something having a color tending toward white,"a. 发白的, 带白色的"
whitishness,n. The quality or state of being whitish or somewhat\n   white.,n. whitish的变形
whitlam,, [人名] [英格兰人姓氏] 惠特拉姆绰号，无恶意的人，来源于中世纪英语，含义是“白+羔羊”(white+lamb)
whitland,, [地名] [英国] 惠特兰
whitlatch,, [人名] 惠特拉奇
whitlavia,,[网络] 白拉
whitleather,"n. Leather dressed or tawed with alum, salt, etc.,\n   remarkable for its pliability and toughness; white leather.\nn. The paxwax. See Paxwax.","白鞣皮, (颈部的)项韧带"
Whitley,,Council 惠特利协议会(即英国联合工业协议会)
Whitleyism,,n. 惠特利主义(指通过建立劳资协议会处理工业问题的主张)
whitleyite,,[地质]杂顽火无球粒陨石
Whitlock,,n. (Whitlock)人名；(瑞典)维特洛克；(英)惠特洛克
whitlockite,,白磷钙矿[石]
whitlow,n a purulent infection at the end of a finger or toe in the area surrounding the nail,"n. 瘭疽, 指头脓炎\n[医] 瘭疽, 化脓性指头炎"
whitlow grass,,[网络] 指疽草
whitlows,, [医]爪间鬃
whitlowwort,, 轮生软花
whitman,n. United States poet who celebrated the greatness of America (1819-1892)\nn. United States frontier missionary who established a post in Oregon where Christianity and schooling and medicine were available to Native Americans (1802-1847),n. 惠特曼（姓氏）
Whitman's frame,,[医] 惠特曼氏支架
Whitman's operation,,"[医] 惠特曼氏手术(髋关节成形术,距骨切除术)"
Whitmanesque,,(美国诗人)惠特曼风格的；惠特曼诗歌风格的
Whitmania,,蚂蟥属
whitmanite,,镁钛矿
whitmarsh,, [人名] [英格兰人姓氏] 惠特马什住所名称，来源于古英语，含义是“白（即发磷光的）+沼泽”(white+marsh)
whitmer,, [人名] [英格兰人姓氏] 惠特默 Whitmore的变体
whitmire,, [人名] 惠特迈尔; [地名] [美国] 惠特迈尔
Whitmonday,n the day after Whitsunday; a legal holiday in England and Wales and Ireland,n. 圣灵降临节后第一个星期一
Whitmore,,n. (Whitmore)人名；(英)惠特莫尔
Whitmore's bacillus,,[医] 惠特莫尔氏杆菌(假鼻疽杆菌)
Whitmore's disease,,"[医] 惠特莫尔氏病, 类鼻疽"
Whitmore's fever,,[医] 惠特莫尔氏热(类鼻疽)
whitmoreite,,n. [矿]褐磷铁矿
Whitnall's tubercle,,[医] 怀特纳耳氏结节(颧骨结节)
whitney,"n. United States inventor of the mechanical cotton gin (1765-1825)\nn. the highest peak in the Sierra Nevada range in California (14,494 feet high)",n. 惠特尼（女子名）；惠特尼山（位于美国加利福尼亚州东部）
Whitney Moore Young Jr.,,[网络] 惠特尼摩尔年轻
Whitney Young,,[网络] 杨；年轻惠特尼
whitneyite,n. an arsenide of copper from Lake Superior.,淡砷铜矿
whiton,, [人名] 惠顿
whitridge,, [人名] 惠特里奇
whitrow,, [人名] 惠特罗
whits,plural of whit\nn a tiny or scarcely detectable amount,"(whit 的复数) n. 些微, 一点点"
whitsitt,, [人名] 惠齐特
whitson,a. See Whitsun.," [人名] [英格兰人姓氏] 惠特森取自父名, 来源于White,含义是“怀特之子”(son of White)"
Whitsun,n. Christian holiday; the week beginning on Whitsunday (especially the first 3 days),a. 降灵节的
Whitsun Monday,,[网络] 星期一
Whitsun Tuesday,,[网络] 惠灵顿星期二
Whitsunday,n seventh Sunday after Easter; commemorates the emanation of the Holy Spirit to the Apostles; a quarter day in Scotland,n. 降灵节
Whitsuntide,n Christian holiday; the week beginning on Whitsunday (especially the first 3 days),"n. 圣神降临周(复活节后的第七周,尤指前三天)"
Whitsuntiding,,n. 【宗教】降灵节后的一周(尤指头三天) [亦作 whit week]
whitt,, [人名] [英格兰人、苏格兰人姓氏] 惠特 White的变体
Whittaker,,惠特克
Whittaker-Shannon sampling theorem,,[计] 维特克-香农抽样定理
Whittakers,plural of Whittaker,(Whittaker 的复数) 惠特克
whittall,, [人名] 惠托尔
whittell,, [人名] 惠特尔
whittemore,, [人名] [英格兰人姓氏] 惠特莫尔 Whitmore的变体; [地名] [美国] 惠特莫尔
whitten,, [人名] 惠滕
whitter,, [人名] 惠特
whittered,past tense of whitter,(whitter 的过去时)  [人名] 惠特
whittering,-ing form of whitter,(whitter 的现在分词)  [人名] 惠特
whittier,n. United States poet best known for his nostalgic poems about New England (1807-1892),n. 惠蒂尔（姓氏）
whittingham,, [人名] [英格兰人、苏格兰人姓氏] 惠廷厄姆住所名称，来源于古英语别名Hwita+古英语，含义是“宅地”(homestead); [地名] [英国] 惠廷厄姆
Whittington,,n. (Whittington)人名；(英)惠廷顿
whittle,n. English aeronautical engineer who invented the jet aircraft engine (1907-1996)\nv. cut small bits or pare shavings from,"vt. 逐渐削薄, 削整, 削弱, 削减\nvi. 削木头\nn. 大刀, 屠刀"
whittle away,," 削减, 减少, 降低（…的大小、重要性或价值）"
whittle down,,削减
whittled,imp. & p. p. of Whittle,"v. 切, 削（木头）, 使逐渐变小( whittle的过去式和过去分词 )"
whittler,n. someone who whittles (usually as an idle pastime),n. 削木者
whittles,n English aeronautical engineer who invented the jet aircraft engine (1907-1996)\nv cut small bits or pare shavings from,"v. 切, 削（木头）, 使逐渐变小( whittle的第三人称单数 )"
whittlesea,, [地名] [澳大利亚、美国、南非共和国、英国] 惠特尔西
whittlesey,, [人名] 惠特尔西
whittling,p. pr. & vb. n. of Whittle,"v. 切, 削（木头）, 使逐渐变小( whittle的现在分词 )"
Whitton,,n. (Whitton)人名；(英)惠顿
whittredge,, [人名] 惠特里奇
whittret,n. A weasel.,n. <主苏格兰>=weasel
Whittuesday,n. The day following Whitmonday; -- called also Whitsun\n   Tuesday.,n. 圣灵降临节后的第一个星期二
Whitty,,n. (Whitty)人名；(英)惠蒂
Whitweek,,[网络] 惠特韦
whitwell,," [人名] [英格兰人姓氏] 惠特韦尔住所名称，来源于古英语，含义是“白+泉，溪流”(white+spring,stream); [地名] [英国、英国] 惠特韦尔"
Whitworth,,"thread [机]惠氏螺纹,英制螺纹"
whitworth screw thread,,[机] 惠螺纹
Whitworth thread,,[化] 英制标准螺纹
whity,,a. 发白的
whiz,n. a buzzing or hissing sound as of something traveling rapidly through the air,"n. 飕飕声, 精明的人, 专家\nv. (使)飕飕作声"
whiz kid,,"n. 神童, 优等生; 高才生"
whiz-bang,,n. 爆竹的一种；自动操纵的飞弹；杰出的人或事物\na. 杰出的
whiz-kid,n. someone whose career progresses rapidly,n. <口><贬>迅速获得成功的人
whiz-kids,plural of whiz-kid,(whiz-kid 的复数) n. <口><贬>迅速获得成功的人
whizbang,n. a small high-velocity shell; it makes a whizzing sound followed by a bang when it hits\nn. a firecracker that (like the whizbang shell) makes a whizzing sound followed by a loud explosion,n. 嘘碰;小口径砲弹
whizbang shell,,[网络] whizbang壳
whizz,v. make a soft swishing sound,"n. 飕飕声, 精明的人, 专家\nv. (使)飕飕作声"
whizz along,, 嘶的一声急驶而过
whizz kid,,"[美国英语]；神童, 奇才；优秀学生；绝顶聪明能干的青年人[亦作 whizz-kid, whiz-kid]"
whizz-kid,n. someone whose career progresses rapidly,"n. （尤指在金融方面的）神童, 奇才"
whizz-kids,n. someone whose career progresses rapidly,天才\n神童
whizzbang,n. a small high-velocity shell; it makes a whizzing sound followed by a bang when it hits\nn. a firecracker that (like the whizbang shell) makes a whizzing sound followed by a loud explosion,"n. [旧俚语](一种爆炸力很强的)高速炮弹；(一种)速爆烟火；[美国俚语] =whiz (2.)\na. [美国俚语]杰出的, 优秀的；很有用的；充满生气的；壮观的"
whizzbangs,plural of whizzbang,"(whizzbang 的复数) n. [旧俚语](一种爆炸力很强的)高速炮弹；(一种)速爆烟火；[美国俚语] =whiz (2.)\na. [美国俚语]杰出的, 优秀的；很有用的；充满生气的；壮观的"
whizzed,v make a soft swishing sound,旋离了的
whizzer,,飕飕作声的东西
whizzes,n someone who is dazzlingly skilled in any field\nv make a soft swishing sound,"n. 飕飕声( whiz的名词复数 ); 能手; 专家; 有吸引力的东西; 飕飕声( whizz的名词复数 ); 熟手; 能手; 奇才\nv. 发出飕飕声( whiz的第三人称单数 ); <口>高速移动; 飕飕作声( whizz的第三人称单数 ); 飕飕掠过, 急驰; 使飕飕作声"
whizzing,v make a soft swishing sound,n. 旋离；离心分离
whizzingly,adv. With a whizzing sound.,"adv. whiz, whizz的变形"
whizzo,,"a. 极好的,出色的"
whizzy,,a. 采用最新技术的
whl,,abbr. wheel 轮; 齿轮; 飞轮; wholesale 批发
who,n a United Nations agency to coordinate international health activities and to help governments improve health services,pron. 谁
Who are those people,,那些人是些什么人
Who are you,,你是谁
Who are you wating for,,你在等谁
Who are you writing to,,你在给谁写信
who cares,,谁在意（歌名）
who cares?,,[口语]管它呢!(表示无所谓、撒手不管)
Who is that over there,,那边那个人是谁
Who is the author of this novel,,这篇小说的作者是谁
Who is the governor of this state,,这个州的州长是谁
Who is this,,是谁呀
who is who,,"谁是谁,名人,有影响的人"
Who wrote it,,是谁写的
who's,,abbr. who is 谁是…
who-are-you,,[计] 询问符
whoa,"interj. Stop; stand; hold. See Ho, 2.","int. 惊叹声, 停止"
WHOAMI,,[计] 显示本用户信息
whodunit,n a story about a crime (usually murder) presented as a novel or play or movie,"n. 侦探小说, 惊险刺激读物"
whodunits,-s form of whodunit\nn a story about a crime (usually murder) presented as a novel or play or movie,"(whodunit 的第三人称 -s形式) n.侦探小说, 惊险刺激读物"
whodunnit,,n. 凶杀悬疑小说（或电影、戏剧）
whodunnits,plural of whodunnit,(whodunnit 的复数) n. 凶杀悬疑小说（或电影、戏剧）
whoever,"pron. Whatever person; any person who; be or she who; any one\n   who; as, he shall be punished, whoever he may be.","pron. 任何人, 无论谁"
whoi,,abbr. Woods Hole Oceanographic Institution <美国>伍兹霍尔海洋学研究所
whois,,[计] whois查找程序
Whoja vu,"Whoja vu is to people as Deja vu is to events.\r\nThat eerie feeling you've met someone before, even though you just met them for the first time\n> ""I swear, I've met him somewhere before, but there's no way I could have. . . ""\n> ""huh. well then you're just having Whoja vu. go with it.""\n",
whole,n. all of something including all its component elements or parts\nn. an assemblage of parts that is regarded as a single entity\na. including all components without exception; being one unit or constituting the full amount or extent or duration; complete\na. (of siblings) having the same parents,"n. 全部, 全体, 整体, 完全之体系\na. 所有的, 完整的, 完全的, 纯粹的"
whole blood,,[医] 全血
whole blood oximeter,,[医] 全血氧计
whole brother,,[法] 嫡亲兄弟
whole caboodle,, [俚语]全体，全部
whole cloth,,整幅布
whole coil,,[电] 全节线圈
whole contraction,,[化] 整体收缩
whole event,,[计] 全事件
whole food,, 天然食品
whole gale,, 狂风; 十级风
whole hog,,"n. 最大程度, 彻底"
whole house,,[法] 批发店
whole kit,, 全体; 全部人员; 全套事物; 每个
whole kit and boodle,,[网络] 整套工具和面包
whole kit and caboodle,,[网络] 全部一起
whole language,,整体语言教学法；全语学习
whole length,,"a. 全长的, 全身的\nn. 全身像"
whole life insurance,,[经] 终身人寿保险
whole life policy,,[医] 终生保险单
whole meal,,全面粉
whole meal bread,, 粗面粉面包
whole meal flour,, 全面粉
whole milk,,全脂奶
whole name,,[网络] 全名
whole note,, 全音符
whole number,,整数
whole page,,[计] 整页
whole pituitary,,[医] 全垂体
whole proteins,,[医] 全蛋白(未分裂的蛋白)
whole rest,, 全休止符
whole sale,,"批发,趸售"
whole set of products,,[经] 成套产品
whole shebang,,[网络] 整件事；整件事情
whole show,,"全部活动,显要人物,关注的焦点"
whole smear,,"全体,整个团体"
whole snipe,, 全鹬
whole some,,"合乎卫生的,有益健康的"
whole step,,[电] 全步
whole to part relation,,[网络] 整体关系
whole tone,,[电] 全节音色
whole wheat,, 全麦
whole wheat bread,, 全麦包
whole wheat flour,, 全麦（面）粉
whole works,,[网络] 整体作品
whole-body,, [医]全身
whole-colored,,"a. 纯色的, 单色的"
whole-coloured,,"a. 纯色的, 单色的"
whole-dollar accounting,,"[经] ""纯美元""会计, ""整元""会计"
whole-hearted,,"a. 全心全意的, 竭尽全力的, 全神贯注地, 忠实的"
whole-heartedly,,"adv. 全心全意地, 全神贯注地"
whole-hog,,a. 无保留的; 全部的; 彻底的; 完全的
whole-hogger,,"n. 彻底支持者, 尽力而为者"
whole-hoofed,"a. Having an undivided hoof, as the horse.",a. 单蹄的
whole-length,a. Representing the whole figure; -- said of a picture\n   or statue.\nn. A portrait or statue representing the whole figure.,"a. 全长的, 全身的"
whole-life,,一生；终身保险；终身寿险
whole-life insurance,,终身人寿保险
whole-souled,s with unconditional and enthusiastic devotion,a. = wholehearted
whole-timer,,[法] 按日计酬的工人
whole-tone,,a. [音乐]全音的
whole-tones,plural of whole-tone,(whole-tone 的复数) adj. [音乐]全音的
whole-wheat,a of or relating to or derived from wheat,a. 用全麦做的
whole-word method,,[网络] 全词教学法
wholefood,,"n. 天然食物, 未经加工处理的食物"
wholefoods,,"n. 天然食物, 未经加工处理的食物( wholefood的复数形式 )"
wholegrain,,"a. 全粒的, 全米的"
wholegrains,plural of wholegrain,"(wholegrain 的复数) adj. 全粒的, 全米的"
wholehearted,s with unconditional and enthusiastic devotion,"a. 一心一意的, 诚恳的"
wholeheartedly,r. without reserve; without reservation,"adv. 全心全意地, 全神贯注地"
wholeheartedness,n. undivided commitment or unreserved enthusiasm,"n. 全心全意, 全神贯注"
wholemeal,a of or relating to or derived from wheat,n. 全麦面粉
wholeness,n. a state of robust good health,"n. 全体, 一切, 完全"
wholes,n. all of something including all its component elements or parts\nn. an assemblage of parts that is regarded as a single entity,n. 整体( whole的复数形式 ); 一体
wholesale,n. the selling of goods to merchants; usually in large quantities for resale to consumers\nv. sell in large quantities\nr. at a wholesale price\nr. on a large scale without careful discrimination,"n. 批发\na. 批发的, 大规模的\nadv. 大规模, 照批发方式\nvi. 经营批发业, 批发\nvt. 批发"
wholesale agency,,[经] 批发代理商
wholesale banking,,[经] 银行批发业务
wholesale business,,"[经] 批发业, 批发生意"
wholesale cost,,[经] 批发成本
wholesale dealer,,[经] 批发商
wholesale distributor,,[经] 批发商
wholesale financing,,"[经] 筹措批发资金, 大宗借贷"
wholesale firm,,[经] 批发店
wholesale goods,,[经] 批发货
wholesale house,, 批发商行
wholesale insurance,,[经] 成(整)批保险
wholesale merchant,,[法] 批发商人
wholesale price,,[经] 批发价格
wholesale price index,,[经] 批发物价指数
wholesale slaughter,,[法] 大屠杀
wholesale trade,,[法] 批发贸易
wholesaled,v sell in large quantities,"v. 批发( wholesale的过去式和过去分词 ); 趸售, 大规模买卖; 批发（的）; 大规模（的）"
wholesaler,n someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,n. 批发商\n[经] 批发商
wholesalers,n. someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,n. 批发商( wholesaler的复数形式 )
wholesales,n the selling of goods to merchants; usually in large quantities for resale to consumers\nv sell in large quantities,n. 商品批发；批发（wholesale的复数）
wholesaling,v sell in large quantities,n. 批发
wholesaling middleman,,[经] 批发中间商
wholescale,,"a. 大规模的,大量的,成批的,不加区别的"
wholesome,a. conducive to or characteristic of physical or moral well-being\ns. sound or exhibiting soundness in body or mind,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
wholesomely,r in a wholesome manner,"adv. 卫生地, 有益健康地"
wholesomeness,n. the quality of being beneficial and generally good for you, 卫生性
wholewheat,,n. 全麦
wholism,,n. 〈哲〉整体论
wholistic,,a. 整体的
wholly,r. to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),"adv. 完全地, 整个, 统统, 全部\n[法] 完全地, 统统地"
wholly-owned,, 全资拥有的
wholly-owned subsidiary,,[经] 全部拥有的附属公司
whom,pron. The objective case of who. See Who.,pron. 谁
whomever,,"pron. （作动词或介词的宾语时, 有时候用来替代whoever）"
whomp,v. beat overwhelmingly,n. 撞击声\nvi. 发撞击声\nvt. 重击
whomp up,,"激起, 引起, 匆匆凑成, 草草做成"
whomped,v hit with the hand\nv beat overwhelmingly,"v. 发撞击声, 重击( whomp的过去式和过去分词 )"
whomping,v hit with the hand\nv beat overwhelmingly,"v. 发撞击声, 重击( whomp的现在分词 )"
whomps,v hit with the hand\nv beat overwhelmingly,"n. 撞击的声音( whomp的名词复数 )\nv. 发撞击声, 重击( whomp的第三人称单数 )"
whomso,,whoso的宾格
whomsoever,pron. The objective of whosoever. See Whosoever.,pron. whoever的宾格
whoof,,n. (突然排气似的)呼哧声
whoofing,-ing form of whoof,(whoof 的现在分词) n.(突然排气似的)呼哧声
whoop,"n. a loud hooting cry of exultation or excitement\nv. shout, as if with joy or enthusiasm","n. 大叫, 呐喊, 一点点\nvi. 叫喊, 鸣叫\nvt. 高声说, 唤起"
whoop it up,,"庆祝, 大肆宣扬"
whoop it up for,,为…喝採
whoop up,,[经] 哄抬(价格)
whoop up the price,,哄抬价格
whoop-de-do,,"n. 狂欢, 激烈争论, 议论哗然"
